left_dataset,right_dataset,confidence_score
72833,22024,1.0
73244,43217,1.0
73311,7409,1.0
73312,7409,1.0
73388,88557,0.87
73818,12624,0.87
74568,89072,0.86
76359,53375,1.0
76799,63206,1.0
78025,19620,1.0
78099,53375,1.0
78211,44431,0.86
78637,91361,1.0
79713,4046,0.92
79956,35599,1.0
81864,47329,0.81
81865,47329,0.81
82691,28344,0.81
83511,29041,0.84
85721,35286,1.0
85804,73658,1.0
86079,64596,0.84
86263,72326,1.0
86387,34070,1.0
86889,78701,1.0
39378,40705,1.0
39662,77849,1.0
39810,11675,0.93
39813,88207,0.86
40029,13740,0.89
40029,30901,0.89
40182,27172,0.96
40267,87651,1.0
40619,40705,1.0
40778,41222,0.94
41250,26407,0.9
41435,63527,0.81
41652,28609,1.0
41845,72479,0.95
42755,56263,1.0
43040,58308,0.9
43066,58150,0.89
43199,77402,0.91
43244,60048,1.0
43247,60048,0.96
43732,56263,0.81
43733,9635,1.0
43753,83060,0.88
43923,71306,0.91
43953,58308,0.9
43974,58150,1.0
44190,46480,0.9
44345,67935,0.96
44346,50684,0.9
44506,86562,1.0
44735,77402,0.91
44943,92145,1.0
45175,68683,0.88
45328,19832,0.82
45886,67935,0.87
45943,92233,0.96
45993,68683,0.86
47240,2791,1.0
47264,72646,1.0
47495,62206,1.0
47668,53898,1.0
47671,54285,1.0
48696,68676,0.87
49440,75560,0.96
49570,89838,1.0
50368,30019,1.0
51137,74034,0.91
51147,82912,0.8
51282,68676,0.87
51291,18684,0.95
51341,48715,0.86
52435,48715,0.84
52889,70900,1.0
53298,34775,0.85
53298,61646,1.0
53615,70900,1.0
54265,35526,0.94
39013,9274,0.91
39014,9274,0.91
39087,45086,0.83
39205,7746,0.85
39404,50435,1.0
39525,80346,0.8
39602,14008,1.0
39830,14008,0.89
40441,9962,1.0
42396,67508,0.92
42399,67508,0.92
42976,58106,0.86
43784,86302,0.8
44044,45351,0.82
44635,40888,1.0
44726,62345,1.0
46166,45351,0.82
47746,80173,0.89
49114,53813,1.0
49813,34477,1.0
49822,34477,1.0
49968,56607,0.93
49968,62414,0.8
50340,44507,1.0
51555,53506,1.0
52664,71698,0.9
53480,46622,0.8
54145,23181,1.0
54300,23181,1.0
54362,35386,1.0
54417,35386,1.0
58772,88086,1.0
60182,92610,0.9
61397,92610,1.0
62908,67094,1.0
62922,67094,1.0
63330,36417,1.0
65751,3040,1.0
65939,58880,1.0
65943,58880,1.0
67105,50337,1.0
67378,17501,1.0
68297,44478,1.0
69094,17501,1.0
69180,9538,0.87
71324,68753,0.93
72240,51242,0.93
72599,9538,0.87
74004,9538,0.8
74796,84799,1.0
75841,88399,0.89
75868,88399,0.89
77198,87353,0.88
77488,11434,0.91
78038,57619,0.85
78283,17488,0.8
78283,50913,0.8
78388,17103,0.88
79710,81256,1.0
80934,76739,0.93
81523,36404,0.95
81895,68325,1.0
82157,60077,1.0
82319,49443,1.0
82346,31255,0.89
82725,29701,1.0
82753,73637,1.0
84095,52628,1.0
84637,86338,1.0
85256,13041,1.0
85342,49446,1.0
86493,5836,1.0
54597,72850,0.98
54811,73468,1.0
54813,73468,1.0
54893,6964,0.86
55061,28331,1.0
55414,45649,0.9
55822,40203,0.9
55849,7282,1.0
56362,92376,1.0
56370,46669,0.92
56371,46669,0.88
56830,92376,0.82
56926,77930,0.87
57202,12072,1.0
57202,27752,0.82
57205,12072,1.0
57205,27752,0.85
57795,14955,0.8
57796,14955,0.8
57820,21902,0.88
58064,54801,1.0
58463,17229,1.0
58485,41413,1.0
58664,66500,1.0
58802,17229,1.0
59099,75164,1.0
59307,40839,0.82
59355,6021,1.0
59400,72540,0.8
59578,85479,0.88
59579,85479,1.0
59739,88124,1.0
59740,88124,1.0
59789,5295,0.91
59880,13254,0.88
59947,11117,1.0
60261,75881,0.89
60414,33426,0.88
60489,33426,1.0
60531,62512,1.0
60649,66865,1.0
60655,79342,1.0
60790,56324,0.88
61128,82988,0.95
61130,82988,1.0
61316,7290,1.0
61358,73385,0.83
61576,16202,1.0
61623,22771,0.8
61639,6964,0.86
61673,75881,0.87
61684,13130,0.81
61684,18705,1.0
62101,53242,0.89
62103,53242,0.89
62269,66500,0.92
62513,68229,0.81
62585,51498,0.86
62671,22771,0.8
62672,67186,1.0
62683,60202,1.0
62880,60202,1.0
62898,37126,0.82
62903,14955,0.8
62903,29491,1.0
63044,40839,0.82
63175,14727,0.95
63719,87547,0.88
63720,87547,0.89
64131,14727,0.95
64142,27869,1.0
64190,58952,0.87
64216,83272,0.82
64360,45361,1.0
64543,25729,1.0
64775,27869,0.86
64821,18268,0.8
64905,76346,0.85
65067,86981,1.0
65098,70242,1.0
65124,73211,0.93
65548,77834,0.92
65626,93684,1.0
65630,93684,1.0
65834,38023,1.0
65863,68229,0.91
66039,17591,0.9
66119,62512,1.0
66150,21843,1.0
66414,55221,1.0
66415,55221,1.0
66527,38048,0.8
66620,79027,1.0
66621,73211,0.93
66892,82234,1.0
67075,79027,1.0
67823,78442,0.86
68378,64406,1.0
68595,31467,1.0
68663,26335,0.8
68856,2401,1.0
68857,45361,0.87
69172,18268,0.8
69304,85014,1.0
69357,89338,1.0
70417,36437,1.0
70423,2826,0.97
70515,64822,1.0
70517,64822,0.88
70774,32381,0.93
70935,38048,0.8
70962,53193,1.0
71047,12798,1.0
71172,27117,0.95
71278,64406,0.93
71323,63485,0.89
71362,76035,0.83
71495,36437,1.0
71753,2002,1.0
71844,78230,1.0
71881,27928,0.98
71968,93789,1.0
72118,57939,0.84
72226,74011,1.0
72230,74011,0.9
72987,44826,0.81
73004,31467,1.0
73385,14050,0.9
73593,14955,0.8
73606,14955,0.8
73815,8626,1.0
73824,25483,1.0
73902,25483,0.87
74492,44147,0.8
74539,26335,0.8
74602,2002,1.0
74743,85097,1.0
74907,831,0.84
74917,47532,0.85
75006,44147,0.8
75006,68229,0.81
75340,69231,0.88
75344,36933,1.0
75478,42902,1.0
75543,46496,1.0
75594,36933,1.0
75596,39575,0.82
75617,80354,0.84
75624,80354,1.0
76124,8626,1.0
76143,84062,0.9
76380,31241,1.0
76418,78230,1.0
76486,82803,1.0
76525,5841,0.87
76592,12227,1.0
76593,12227,1.0
76754,42902,1.0
76889,77626,0.86
76926,34976,0.82
77077,77428,0.9
77371,18705,0.9
77454,73700,0.86
77491,85798,1.0
77682,63485,0.88
77790,57751,0.92
78132,6964,0.86
78132,52225,0.88
78368,84013,1.0
78511,831,0.96
78557,64120,0.81
78558,64120,1.0
78662,60191,0.91
78856,33682,1.0
78950,52575,1.0
79047,53193,0.81
79152,26381,1.0
79473,26620,0.91
79474,26620,0.96
79686,31241,0.81
79689,91816,0.86
79825,91045,0.82
80162,58877,1.0
80298,36435,0.82
80364,26820,1.0
80567,52872,0.85
80625,78463,0.88
80686,91305,1.0
81160,31383,0.86
81162,31383,0.97
81727,73700,1.0
81760,32081,1.0
81761,32081,1.0
82164,80285,0.87
82349,88239,1.0
82481,10831,1.0
82549,68952,0.82
83013,22107,1.0
83248,51034,0.96
83927,4326,0.88
83967,64454,0.92
84372,22107,0.86
85226,78819,0.88
85459,49897,0.87
85584,10131,1.0
85706,49897,1.0
85811,90148,0.81
86127,64454,0.92
86369,94579,0.89
86430,8205,1.0
452,59561,1.0
1514,10142,1.0
1523,10142,1.0
1909,19440,0.86
1909,29849,0.83
2185,57550,0.89
3793,19440,0.86
3793,29849,0.83
3847,86736,1.0
3848,86736,1.0
3891,35354,0.88
4714,64431,0.81
5091,11926,0.91
5186,68333,0.92
5450,10800,1.0
5525,33577,0.91
6226,89987,0.92
7906,33577,1.0
7979,2862,0.84
7979,4995,1.0
8147,34297,0.89
8937,26926,1.0
8938,72732,0.89
10209,64431,1.0
11532,2862,0.81
11532,4995,0.85
12267,38376,0.81
13548,20664,0.85
13549,20664,0.94
14285,18464,1.0
15192,40615,0.81
15725,20664,1.0
15874,89558,0.91
15920,53362,0.89
16125,61104,0.88
16178,64507,0.87
17034,24578,1.0
17035,24578,1.0
17189,26280,1.0
17735,53656,0.86
17771,81149,1.0
19013,67169,0.85
19037,93130,1.0
19322,17655,1.0
20360,84997,0.92
20387,63253,1.0
20514,41428,0.88
21543,71041,0.84
21589,77858,1.0
22420,11812,1.0
22496,71874,0.82
23299,84997,1.0
23521,55694,1.0
23550,28945,0.83
23905,34111,1.0
24558,11812,0.86
25579,14500,0.86
25639,76538,1.0
26147,72834,1.0
27019,60794,0.89
28057,87638,1.0
54708,180,0.81
54708,45947,0.97
54709,180,0.81
54709,45947,0.96
55651,37041,0.92
55653,37041,1.0
56067,89460,0.88
56254,50423,0.85
57247,89460,0.93
57752,73422,0.85
58447,608,1.0
58698,73395,0.92
58788,73395,0.92
59182,39159,1.0
59429,3986,0.81
60429,2564,1.0
60429,69621,0.94
60439,2564,1.0
60439,69621,0.93
62360,64014,0.92
62519,608,1.0
62784,40048,0.91
62789,40048,1.0
63099,12123,0.93
64325,92887,0.91
64328,92887,0.89
64346,69961,1.0
64851,33541,0.85
66037,70483,1.0
66212,35166,1.0
66315,70483,1.0
66606,79650,1.0
66771,23422,1.0
67024,16496,1.0
67024,46867,0.8
67804,63208,1.0
68179,79650,1.0
69424,21658,0.89
70621,35166,1.0
71134,1303,0.86
71296,64014,1.0
71689,65606,0.85
71705,23422,1.0
71724,21658,0.87
71806,49085,0.8
72841,29880,0.86
73315,26818,0.9
73736,21658,0.87
74392,49085,0.8
74636,80208,1.0
74637,80208,0.94
75283,21183,1.0
75308,20344,1.0
75504,74523,1.0
76000,74191,1.0
76212,85686,1.0
76253,34321,0.92
76254,34321,1.0
76326,56886,1.0
76343,11961,1.0
76556,70695,1.0
77175,74191,0.88
77417,26818,0.9
77989,56480,1.0
78454,42425,1.0
78490,85686,1.0
78495,21157,1.0
78916,64692,1.0
79132,14608,0.85
79292,70158,0.94
79795,14608,1.0
81450,12751,0.91
84510,15254,1.0
85209,58281,1.0
85724,68168,1.0
85918,54024,1.0
85920,54024,0.92
86285,52260,1.0
86566,88717,0.94
86581,52260,0.92
86661,24114,0.83
40122,57394,1.0
40162,13116,0.95
43130,72023,1.0
43660,37342,0.84
43660,40572,1.0
44527,72023,1.0
44919,29699,0.81
44936,79688,1.0
45037,29699,0.83
45038,29699,0.83
45202,31303,1.0
45803,13454,1.0
45828,29699,0.83
45970,73953,1.0
46716,31303,1.0
46863,56918,1.0
47340,56918,1.0
48149,45417,1.0
48615,53831,1.0
48623,53831,0.94
49933,67929,0.81
50273,57638,1.0
50589,58543,1.0
51462,57638,1.0
51492,78599,0.94
51693,29699,0.83
51859,37581,0.81
52142,40151,1.0
52884,68726,1.0
56461,61316,1.0
63654,50769,0.83
68689,41175,1.0
69945,44565,1.0
73279,44565,1.0
75986,48999,0.83
81080,42175,0.9
82788,37252,1.0
84803,82549,0.86
85556,64221,0.91
85940,43469,0.86
159,42854,0.82
1799,42854,0.82
2800,83839,1.0
3004,85535,1.0
3114,73233,0.86
5020,88234,1.0
7899,28472,0.96
8933,62580,0.92
17428,90914,0.82
18429,82152,0.94
19739,27384,0.88
20585,67956,0.91
20730,90914,0.82
21735,32984,0.88
25169,60026,1.0
25246,56261,1.0
25392,5317,0.8
25399,45675,0.91
27005,43265,1.0
588,75725,1.0
2904,1254,0.95
3229,79388,0.92
3256,79388,1.0
4098,86663,1.0
4184,86332,1.0
6454,13879,1.0
7571,29736,1.0
8112,62726,1.0
9229,24901,0.88
11245,60846,1.0
